TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ENJU3;0,95;;-2,04;0,49;0,43;32,57;-90,79;-69,36;-1,56;1,23;2,81;-0,88;1,42;0,57;-2,98;7,98;-23,88;-20,92;-31,26;0,88;0,12;0,30;;;1.288.917,68;1,95;-0,47;0,20;192.233.456,64
ENMA3B;50,49;4,02;13,96;2,62;1,05;30,50;17,89;11,69;9,12;;1,54;0,44;1,63;12,62;-1,50;1,37;18,78;7,49;15,45;0,40;0,60;0,64;11,48;8,23;;19,26;3,62;-0,47;
ENMA6B;83,99;2,42;23,23;4,36;1,74;30,50;17,89;11,69;15,18;;1,54;0,44;2,71;21,00;-2,50;1,37;18,78;7,49;15,45;0,40;0,60;0,64;11,48;8,23;;19,26;3,62;-0,78;
ENMT3;79,89;4,43;14,44;5,12;1,47;29,95;25,13;16,24;9,33;11,41;2,08;1,14;2,34;19,45;-1,97;1,42;35,45;10,17;19,83;0,29;0,71;0,63;16,93;56,02;73.205,00;15,61;5,53;2,90;17.492.705.628,36
ENMT4;79,90;4,43;14,44;5,12;1,47;29,95;25,13;16,24;9,33;11,41;2,08;1,14;2,34;19,45;-1,97;1,42;35,45;10,17;19,83;0,29;0,71;0,63;16,93;56,02;42.752,91;15,61;5,53;2,90;17.492.705.628,36
EPAR3;10,02;20,15;2,47;1,90;0,60;19,65;6,57;5,32;2,00;2,38;0,38;0,36;0,13;2,12;-2,39;1,61;77,10;24,32;48,04;0,32;0,68;4,57;44,52;93,88;16.879,79;5,26;4,06;0,17;148.902.891,36
EQPA3;6,61;7,35;10,56;3,36;1,15;32,24;22,63;16,01;7,47;8,65;1,18;0,53;1,69;8,67;-1,82;1,56;31,80;10,88;19,70;0,34;0,66;0,68;12,16;31,52;218.382,57;1,97;0,63;0,22;14.619.213.991,33
EQPA5;8,30;5,86;13,25;4,22;1,44;32,24;22,63;16,01;9,37;8,65;1,18;0,53;2,12;10,89;-2,29;1,56;31,80;10,88;19,70;0,34;0,66;0,68;12,16;31,52;988,00;1,97;0,63;0,28;14.619.213.991,33
EQPA6;10,48;4,64;16,74;5,32;1,82;32,24;22,63;16,01;11,84;8,65;1,18;0,53;2,68;13,75;-2,89;1,56;31,80;10,88;19,70;0,34;0,66;0,68;12,16;31,52;;1,97;0,63;0,35;14.619.213.991,33
EQPA7;8,10;6,00;12,94;4,11;1,41;32,24;22,63;16,01;9,15;8,65;1,18;0,53;2,07;10,63;-2,23;1,56;31,80;10,88;19,70;0,34;0,66;0,68;12,16;31,52;2.125,00;1,97;0,63;0,27;14.619.213.991,33
EQTL3;26,08;2,45;12,61;1,81;0,42;31,25;20,54;8,56;5,26;9,59;4,16;1,43;1,08;4,59;-0,56;1,54;14,34;3,29;9,14;0,23;0,74;0,38;24,97;26,81;199.676.772,36;14,42;2,07;-0,35;30.379.629.682,35
ESPA3;1,15;;-41,33;0,59;0,19;33,23;13,92;-1,23;3,65;10,67;6,92;1,12;0,51;6,71;-0,30;1,09;-1,43;-0,46;5,67;0,32;0,68;0,38;;;7.414.259,36;1,94;-0,03;0,40;426.479.217,88
ESTR3;17,80;;-0,38;-0,03;0,05;43,51;15,58;-23,04;0,56;4,92;3,89;;0,09;-0,03;-0,12;0,26;-7,76;-12,43;-5,39;-1,60;2,60;0,54;4,90;;;-605,44;-47,01;0,00;26.346.821,00
ESTR4;39,99;;-0,85;-0,07;0,11;43,51;15,58;-23,04;1,26;4,92;3,89;;0,20;-0,06;-0,26;0,26;-7,76;-12,43;-5,39;-1,60;2,60;0,54;4,90;;19.519,00;-605,44;-47,01;-0,01;26.346.821,00
ETER3;9,07;11,83;3,17;0,85;0,47;35,44;19,76;15,19;2,44;2,54;0,05;0,02;0,48;1,30;-1,17;2,55;26,81;14,90;23,98;0,56;0,44;0,98;6,30;;9.862.889,50;10,68;2,86;-0,07;573.286.616,00
EUCA3;10,90;2,36;2,76;0,49;0,27;32,65;15,64;14,16;2,50;3,11;1,22;0,24;0,39;1,71;-0,44;1,75;17,72;9,92;13,58;0,56;0,44;0,70;16,44;61,20;22.626,91;22,27;3,95;0,20;762.876.435,28
EUCA4;6,82;4,15;1,73;0,31;0,17;32,65;15,64;14,16;1,56;3,11;1,22;0,24;0,24;1,07;-0,27;1,75;17,72;9,92;13,58;0,56;0,44;0,70;16,44;61,20;266.404,82;22,27;3,95;0,12;762.876.435,28
EVEN3;4,91;4,55;7,13;0,54;0,16;24,30;7,41;6,17;5,94;4,64;-1,50;-0,14;0,44;0,37;-0,58;2,48;7,54;2,26;3,85;0,30;0,57;0,37;5,48;139,11;8.020.994,18;9,13;0,69;0,16;1.076.960.000,00
EZTC3;13,88;5,61;8,39;0,69;0,56;38,96;26,84;37,06;11,58;10,33;-1,56;-0,09;3,11;1,58;-0,98;5,47;8,18;6,63;4,63;0,81;0,18;0,18;10,85;9,70;38.450.806,32;20,23;1,65;-0,32;3.149.094.717,75
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;61,00;6,56;4,70;1,77;1,36;50,23;41,83;36,91;4,15;3,56;-0,38;-0,16;1,73;4,22;-2,38;3,94;37,72;28,87;32,81;0,77;0,23;0,78;16,87;75,11;17.810,20;34,43;12,99;0,03;5.109.017.600,00
FESA4;55,13;7,98;4,25;1,60;1,23;50,23;41,83;36,91;3,75;3,56;-0,38;-0,16;1,57;3,82;-2,15;3,94;37,72;28,87;32,81;0,77;0,23;0,78;16,87;75,11;11.501.326,71;34,43;12,99;0,03;5.109.017.600,00
FHER3;17,46;;2,67;2,13;0,31;11,31;7,54;6,08;2,16;2,59;0,44;0,43;0,16;1,12;-1,27;1,57;79,53;11,49;52,74;0,14;0,86;1,89;-3,75;52,10;3.701.170,64;8,21;6,53;0,11;938.193.887,28
FIGE3;12,03;0,21;2,05;0,19;0,19;100,00;93,14;58,04;1,28;0,43;;;1,19;14.219,08;-0,19;;9,32;9,20;;0,99;0,01;0,16;;-2,49;902,50;62,90;5,86;0,01;9.529.251,72
FIGE4;0,00;;0,00;0,00;0,00;100,00;93,14;58,04;0,00;0,43;;;0,00;0,00;0,00;;9,32;9,20;;0,99;0,01;0,16;;-2,49;;62,90;5,86;0,00;9.529.251,72
FIQE3;3,66;2,30;10,98;1,33;0,70;47,09;25,34;19,13;8,28;6,93;-1,49;-0,24;2,10;3,39;-1,17;2,05;12,14;6,36;8,63;0,52;0,48;0,33;;;2.544.658,50;2,75;0,33;0,16;1.346.824.545,48
FLEX3;0,00;;0,00;0,00;0,00;24,43;-19,92;-42,50;0,00;-1,31;-1,31;;0,00;0,00;0,00;0,77;-425,18;-49,92;-122,57;-0,12;1,12;1,17;1,44;;;-14,25;-60,58;0,00;0,00
FLRY3;15,37;5,23;16,23;2,95;0,83;28,29;17,90;7,97;7,22;11,09;3,64;1,48;1,29;11,19;-1,14;1,38;18,16;5,13;11,83;0,28;0,72;0,64;13,06;8,74;47.701.554,93;5,21;0,95;-0,96;5.820.073.971,60
FNCN3;14,25;;3,54;0,93;0,84;100,00;-47,99;130,53;-9,63;-9,63;;;4,62;2,05;-1,72;4,97;26,38;23,66;;0,90;0,10;0,18;-19,89;;55.843,33;15,25;4,02;-0,01;13.021.336,50
FRAS3;10,15;2,79;14,29;1,52;0,73;28,90;10,45;6,40;8,75;8,66;-0,27;-0,05;0,91;1,80;-1,91;2,92;10,66;5,11;9,66;0,48;0,52;0,80;26,01;24,43;5.279.263,64;6,66;0,71;-0,36;2.794.669.150,05
FRIO3;31,00;;-2,07;-0,57;0,07;18,12;8,99;-2,95;0,68;6,55;5,87;;0,06;-0,32;-0,23;0,76;-27,53;-3,36;12,54;-0,12;1,10;1,14;15,09;;3.100,00;-54,31;-14,95;-0,08;127.309.374,00
FRTA3;2,72;;0,92;-0,08;0,19;127,38;44,53;85,22;1,76;20,83;19,07;;0,78;-0,06;-0,21;0,03;-8,89;20,43;-42,50;-2,30;3,30;0,24;-19,18;;3.747,15;-33,22;2,95;-0,01;5.565.272,26
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;2,57;;-1,03;0,35;0,31;29,87;33,83;34,40;-1,04;-1,21;-0,18;0,06;;-5,10;-0,33;0,54;-34,34;-29,89;-29,61;0,87;0,13;-0,87;;;297.432,14;7,30;-2,51;0,01;260.962.348,80
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;24,41;5,49;15,48;1,12;0,61;29,78;28,60;11,00;5,95;8,27;2,02;0,38;1,70;-5,03;-0,68;0,44;7,22;3,96;11,02;0,55;0,45;0,36;0,20;-16,23;17.298,76;21,85;1,58;-0,22;2.417.806.822,41
GEPA4;26,20;5,11;16,62;1,20;0,66;29,78;28,60;11,00;6,39;8,27;2,02;0,38;1,83;-5,40;-0,73;0,44;7,22;3,96;11,02;0,55;0,45;0,36;0,20;-16,23;23.552,83;21,85;1,58;-0,24;2.417.806.822,41
GETT11;4,69;9,01;14,75;2,42;0,16;41,43;18,41;17,71;14,19;;0,99;0,17;2,61;6,12;-3,83;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;1.462.325,64;1,94;0,32;0,13;
GETT3;2,33;8,64;7,33;1,20;0,08;41,43;18,41;17,71;7,05;;0,99;0,17;1,30;3,04;-1,90;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;149.574,96;1,94;0,32;0,06;
GETT4;2,32;9,33;7,30;1,20;0,08;41,43;18,41;17,71;7,02;;0,99;0,17;1,29;3,03;-1,89;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;155.557,00;1,94;0,32;0,06;
GFSA3;5,67;;-7,04;0,12;0,04;16,71;10,51;-2,95;1,98;17,17;15,11;0,94;0,21;0,11;-0,12;1,93;-1,75;-0,52;-0,03;0,30;0,70;0,18;-2,22;;14.302.466,57;45,97;-0,81;0,05;224.271.255,36
GGBR3;24,84;14,61;3,02;0,85;0,52;24,43;23,00;16,01;2,10;2,67;0,22;0,09;0,48;1,99;-0,98;2,25;27,99;17,26;25,44;0,62;0,38;1,08;15,78;;2.032.930,64;29,39;8,23;0,51;48.515.540.554,15
GGBR4;30,74;11,81;3,74;1,05;0,64;24,43;23,00;16,01;2,60;2,67;0,22;0,09;0,60;2,46;-1,22;2,25;27,99;17,26;25,44;0,62;0,38;1,08;15,78;;409.562.472,14;29,39;8,23;0,63;48.515.540.554,15
GGPS3;10,95;;16,04;3,04;1,03;16,13;9,27;5,28;9,13;10,00;0,63;0,21;0,85;3,96;-2,11;2,03;18,92;6,41;13,31;0,34;0,66;1,21;;;24.183.710,61;3,61;0,68;2,82;7.520.830.217,05
GMAT3;5,31;;12,37;1,64;0,95;22,39;5,97;4,71;9,75;11,98;2,05;0,34;0,58;2,07;-2,61;3,57;13,26;7,65;11,29;0,58;0,42;1,63;;;42.205.391,68;3,24;0,43;0,46;11.952.562.287,39
GNDI3;66,95;2,41;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;614.805.285,20;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;12,07;10,36;2,65;0,75;0,16;24,43;22,94;5,47;0,63;0,88;0,19;0,23;0,15;0,58;-0,30;2,28;28,16;5,86;25,12;0,21;0,38;1,07;15,78;;2.851.316,93;16,15;4,55;0,27;13.594.083.997,17
GOAU4;13,41;9,32;2,95;0,83;0,17;24,43;22,94;5,47;0,70;0,88;0,19;0,23;0,16;0,65;-0,33;2,28;28,16;5,86;25,12;0,21;0,38;1,07;15,78;;127.038.919,79;16,15;4,55;0,30;13.594.083.997,17
GOLL4;7,08;;-4,92;-1,04;1,37;7,02;-13,61;-34,36;-12,43;-7,65;-5,98;;1,69;-2,14;-1,69;0,23;-21,18;-27,89;17,72;-1,32;2,32;0,81;-5,51;;107.540.301,86;-6,79;-1,44;-0,97;3.060.353.992,87
GPAR3;37,98;39,90;3,49;2,53;2,30;82,93;608,39;452,68;2,59;1,94;-0,65;-0,64;15,78;4,27;-5,91;8,74;72,59;66,13;62,80;0,91;0,09;0,15;-9,31;-10,07;45.603,40;15,01;10,90;0,01;2.959.721.847,36
GPIV33;2,80;;-0,30;0,09;0,04;100,00;127,34;86,38;-0,20;0,89;1,09;-0,46;;0,19;-0,05;5,00;-28,56;-12,64;-22,78;0,44;0,21;-0,15;6,19;;119.024,07;32,88;-9,39;0,00;119.867.336,40
GRAO3;0,00;;0,00;0,00;0,00;-1,07;3,48;2,20;0,00;1,14;1,14;27,07;0,00;0,00;0,00;0,95;1.499,09;10,19;23,45;0,01;0,97;4,62;;;;0,07;1,03;0,00;0,00
GRND3;6,21;6,20;9,40;1,31;1,19;40,49;11,25;23,48;19,61;16,21;-3,59;-0,24;2,21;2,20;-3,15;7,35;13,96;12,62;5,93;0,90;0,10;0,54;2,75;-1,24;8.431.779,68;4,73;0,66;-0,77;5.656.543.200,00
GSHP3;24,00;;-0,27;-0,06;0,03;71,96;38,61;-113,63;0,78;29,18;28,40;;0,30;-2,15;-0,04;0,92;-21,19;-11,42;3,61;-0,54;1,54;0,10;-12,81;;5.262,00;-427,06;-90,49;0,00;46.290.456,00
GUAR3;7,17;7,67;14,07;0,69;0,25;57,86;5,82;3,04;7,36;12,52;4,87;0,46;0,43;1,33;-0,64;1,46;4,93;1,80;4,28;0,37;0,63;0,59;4,05;-4,34;13.861.506,36;10,34;0,51;-0,28;3.724.032.000,00
HAGA3;2,61;;8,68;-0,49;0,53;19,89;11,89;12,53;9,15;2,83;-2,91;;1,09;1,49;-3,14;1,74;-5,67;6,07;-6,27;-1,07;2,07;0,48;9,48;1,81;43.533,39;-5,30;0,30;-0,13;19.476.333,85
HAGA4;1,10;;3,66;-0,21;0,22;19,89;11,89;12,53;3,86;2,83;-2,91;;0,46;0,63;-1,32;1,74;-5,67;6,07;-6,27;-1,07;2,07;0,48;9,48;1,81;33.841,36;-5,30;0,30;-0,06;19.476.333,85
HAPV3;4,54;0,12;-124,49;0,66;0,45;25,21;0,50;-1,31;323,85;404,61;64,35;0,13;1,63;71,70;-0,50;1,06;-0,53;-0,36;-0,56;0,68;0,32;0,27;26,62;;378.464.635,00;6,88;-0,04;0,75;34.078.099.894,11
HBOR3;2,02;8,95;5,02;0,20;0,05;27,70;11,84;6,35;2,69;15,85;13,06;0,96;0,32;0,13;-0,13;2,95;3,95;1,06;2,30;0,27;0,61;0,17;1,00;;1.648.032,86;10,18;0,40;-0,10;279.748.740,48
HBRE3;4,95;;2,84;0,27;0,13;83,48;255,07;135,31;1,51;3,70;2,11;0,38;3,85;1,96;-0,15;2,16;9,55;4,72;8,44;0,49;0,38;0,03;;;182.248,57;18,23;1,74;-0,01;535.550.811,39
HBSA3;2,33;;-45,30;1,31;0,28;28,69;14,86;-2,60;7,92;26,37;18,21;3,01;1,18;2,81;-0,35;1,97;-2,89;-0,61;3,06;0,21;0,79;0,24;23,22;;12.026.707,32;1,78;-0,05;0,69;1.824.918.343,20
HBTS5;30,10;4,67;24,81;0,56;0,20;90,77;-6,44;6,79;-26,18;-44,82;-18,64;0,40;1,69;6,67;-0,22;1,38;2,27;0,81;-4,63;0,35;0,65;0,12;37,96;;10.733,44;53,33;1,21;-0,26;274.923.978,70
HETA3;96,00;;-40,87;-0,09;4,36;100,00;92,50;-38,58;17,05;119,21;113,02;;15,77;-0,58;-4,95;0,02;-0,22;-10,66;-1,24;-49,56;50,56;0,28;-0,71;;19.200,00;-1.092,26;-2,35;0,41;17.790.212,00
HETA4;4,00;;-1,70;0,00;0,18;100,00;92,50;-38,58;0,71;119,21;113,02;;0,66;-0,02;-0,21;0,02;-0,22;-10,66;-1,24;-49,56;50,56;0,28;-0,71;;2.636,96;-1.092,26;-2,35;0,02;17.790.212,00
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;65,92;159,14;124,56;0,00;0,02;-0,05;;0,00;0,00;0,00;0,05;-22,15;23,81;-24,55;-1,08;2,14;0,19;-20,33;;;-27,26;6,04;0,00;8.920.778,22
HOOT4;1,13;;0,19;-0,04;0,04;65,92;159,14;124,56;0,15;0,02;-0,05;;0,23;-0,03;-0,05;0,05;-22,15;23,81;-24,55;-1,08;2,14;0,19;-20,33;;6.533,36;-27,26;6,04;0,00;8.920.778,22
HYPE3;41,98;2,94;16,40;2,53;1,18;63,23;33,00;22,99;11,43;14,45;2,85;0,63;3,77;8,03;-1,76;1,80;15,45;7,19;11,64;0,47;0,53;0,31;12,96;6,60;175.853.989,86;16,57;2,56;0,65;27.002.729.684,49
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;3,44;;-5,75;0,83;0,38;43,23;-8,66;-27,41;-18,21;-23,77;-4,71;0,21;1,58;8,21;-0,58;1,15;-14,38;-6,54;-3,41;0,45;0,55;0,24;;;3.439.307,79;4,16;-0,60;0,00;1.312.392.294,00
IGBR3;30,17;;-0,94;-0,04;0,32;100,00;-105,71;-597,93;-5,32;-54,80;-49,54;;5,63;-0,08;-0,34;0,02;-3,76;-34,13;0,99;-9,08;10,08;0,06;-7,98;;40.437,80;-852,52;-32,05;0,02;37.277.285,76
IGSN3;0,00;;0,00;0,00;0,00;32,68;10,45;-27,45;0,00;25,74;25,74;1,39;0,00;0,00;0,00;3,80;-14,20;-4,36;-0,09;0,31;0,69;0,16;16,89;;;8,30;-1,18;0,00;0,00
IGTA3;33,00;;222,99;1,77;0,87;60,16;47,52;2,50;11,71;15,11;3,40;0,52;5,56;7,38;-1,20;1,77;0,80;0,39;6,98;0,49;0,51;0,16;5,10;-30,70;;18,59;0,15;-2,41;5.758.073.079,00
IGTI11;17,69;1,93;455,76;1,82;0,96;60,31;45,08;1,53;15,51;12,72;2,52;0,30;6,99;5,67;-1,42;2,11;0,40;0,21;5,57;0,53;0,47;0,14;5,11;-5,85;65.141.297,79;9,74;0,04;-5,04;4.780.373.443,00
IGTI3;2,39;2,04;184,73;0,74;0,39;60,31;45,08;1,53;6,29;12,72;2,52;0,30;2,83;2,30;-0,58;2,11;0,40;0,21;5,57;0,53;0,47;0,14;5,11;-5,85;520.365,18;3,25;0,01;-2,04;4.780.373.443,00
IGTI4;7,84;1,87;605,96;2,42;1,28;60,31;45,08;1,53;20,62;12,72;2,52;0,30;9,29;7,54;-1,89;2,11;0,40;0,21;5,57;0,53;0,47;0,14;5,11;-5,85;154.252,46;3,25;0,01;-6,70;4.780.373.443,00
INEP3;1,18;;0,20;-0,16;0,14;33,29;5.253,92;4.530,10;0,17;0,86;0,69;;8,87;-0,22;-0,15;0,10;-83,05;72,91;-274,55;-0,88;1,88;0,02;-18,75;;4.891.362,00;-7,26;6,03;0,00;218.297.593,28
INEP4;1,08;;0,18;-0,15;0,13;33,29;5.253,92;4.530,10;0,15;0,86;0,69;;8,12;-0,20;-0,14;0,10;-83,05;72,91;-274,55;-0,88;1,88;0,02;-18,75;;2.000.047,00;-7,26;6,03;0,00;218.297.593,28
INNT3;0,00;;0,00;0,00;0,00;24,10;15,66;11,69;0,00;2,29;2,29;1,51;0,00;0,00;0,00;1,29;49,11;6,09;18,53;0,12;0,88;0,52;38,73;36,17;;1,38;0,68;0,00;0,00
INTB3;28,73;1,27;22,43;4,41;2,15;28,41;10,95;10,70;21,92;21,97;-0,57;-0,11;2,40;5,85;-7,59;2,06;19,66;9,61;14,68;0,49;0,51;0,90;;;39.077.823,00;6,52;1,28;-2,07;9.674.356.078,30
IRBR3;0,71;;-1,82;0,43;0,08;-26,65;-32,94;-13,43;-0,74;-0,77;;;0,24;-0,52;-0,19;0,81;-23,44;-4,18;;0,18;0,82;0,31;13,98;;44.609.192,29;1,66;-0,39;-0,56;1.826.238.845,68
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;8,61;7,41;5,77;1,18;0,87;34,89;170,30;165,22;5,60;5,93;0,50;0,10;9,54;26,25;-0,99;1,40;20,43;15,08;16,44;0,74;0,22;0,09;11,75;12,00;2.449.493,57;7,30;1,49;0,25;81.054.827.691,45
ITSA4;8,05;7,92;5,40;1,10;0,81;34,89;170,30;165,22;5,24;5,93;0,50;0,10;8,92;24,54;-0,92;1,40;20,43;15,08;16,44;0,74;0,22;0,09;11,75;12,00;275.361.531,00;7,30;1,49;0,23;81.054.827.691,45
ITUB3;20,59;4,59;7,01;1,28;0,09;64,92;19,00;13,89;5,13;5,66;;;0,97;;-0,09;;18,31;1,33;;0,07;0,92;0,10;2,26;5,89;20.967.449,25;16,04;2,94;-5,82;222.756.005.138,22
ITUB4;23,86;3,96;8,12;1,49;0,11;64,92;19,00;13,89;5,94;5,66;;;1,13;;-0,11;;18,31;1,33;;0,07;0,92;0,10;2,26;5,89;1.324.091.949,89;16,04;2,94;-6,75;222.756.005.138,22
JALL3;7,31;2,43;11,21;1,43;0,46;-2,22;-2,62;11,54;-49,36;-76,18;-26,01;0,75;1,29;1,61;-0,83;2,73;12,73;4,08;-3,40;0,32;0,68;0,35;;;5.305.749,43;5,12;0,65;-0,84;2.189.599.386,13
JBSS3;20,77;9,63;2,35;1,04;0,22;17,96;8,29;5,16;1,47;3,95;2,47;1,75;0,12;1,75;-0,38;1,46;44,22;9,49;18,49;0,21;0,77;1,84;15,53;142,49;191.966.913,00;19,96;8,83;0,27;46.669.168.424,80
JFEN3;0,60;;-0,40;-0,11;0,05;-289,44;-801,66;-917,09;-0,46;-4,67;-4,22;;3,70;-0,39;-0,33;0,86;-26,15;-13,26;150,41;-0,51;1,59;0,01;-55,23;;67.075,71;-5,68;-1,49;0,03;62.070.250,85
JHSF3;4,99;3,22;4,20;0,68;0,35;62,96;50,00;40,75;3,42;5,40;1,90;0,38;1,71;1,58;-0,50;3,51;16,23;8,23;12,36;0,51;0,48;0,20;39,13;;15.658.033,21;7,32;1,19;-0,34;3.464.575.559,10
JOPA3;21,60;3,83;7,11;0,41;0,10;21,51;5,41;1,48;1,94;7,41;5,45;1,14;0,11;0,25;-0,36;2,19;5,71;1,38;5,16;0,24;0,68;0,93;11,31;0,93;17.856,18;53,22;3,04;0,08;230.667.748,80
JOPA4;37,50;2,43;12,34;0,70;0,17;21,51;5,41;1,48;3,37;7,41;5,45;1,14;0,18;0,43;-0,62;2,19;5,71;1,38;5,16;0,24;0,68;0,93;11,31;0,93;7.500,00;53,22;3,04;0,13;230.667.748,80
JSLG3;5,50;6,82;10,20;1,13;0,21;16,53;12,39;2,72;2,24;7,42;5,11;2,59;0,28;1,48;-0,31;1,87;11,13;2,07;11,91;0,19;0,81;0,76;-8,01;;4.077.334,25;4,85;0,54;-0,27;1.629.792.833,82
KEPL3;20,51;9,73;5,21;2,92;1,40;35,87;28,11;20,45;3,79;3,55;-0,31;-0,24;1,07;5,20;-4,99;1,60;56,06;26,93;45,63;0,48;0,52;1,32;20,87;;21.079.009,39;7,03;3,94;0,02;1.878.973.959,15
KLBN11;20,98;7,04;4,81;2,96;0,53;51,69;37,96;25,10;3,18;5,93;2,77;2,57;1,21;2,99;-0,76;2,45;61,47;11,07;14,36;0,18;0,78;0,44;18,37;14,58;147.279.244,46;7,10;4,36;0,11;23.449.084.363,54
KLBN3;4,19;7,05;4,80;2,95;0,53;51,69;37,96;25,10;3,18;5,93;2,77;2,57;1,21;2,98;-0,76;2,45;61,47;11,07;14,36;0,18;0,78;0,44;18,37;14,58;1.881.795,00;1,42;0,87;0,11;23.449.084.363,54
KLBN4;4,18;7,06;4,79;2,95;0,53;51,69;37,96;25,10;3,17;5,93;2,77;2,57;1,20;2,98;-0,76;2,45;61,47;11,07;14,36;0,18;0,78;0,44;18,37;14,58;8.829.148,82;1,42;0,87;0,11;23.449.084.363,54
KRSA3;1,20;;-7,57;0,78;0,19;24,50;10,36;-6,37;4,65;14,98;10,24;1,71;0,48;1,99;-0,28;1,46;-10,27;-2,53;4,53;0,25;0,74;0,40;;;346.648,96;1,54;-0,16;0,01;942.122.048,14
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;19.173.026,13;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;120.311.988,67;3,46;0,31;-46,75;12.391.135.396,59
LAND3;28,30;0,72;71,24;3,87;2,82;94,43;69,64;32,36;33,11;33,55;0,07;0,01;23,05;257,54;-2,96;1,30;5,44;3,95;8,21;0,73;0,27;0,12;;;1.904.724,50;7,31;0,40;0,75;2.754.015.652,44
LAVV3;4,75;10,86;8,86;0,81;0,53;34,52;16,60;20,67;11,04;5,38;-5,98;-0,44;1,83;0,86;-3,15;3,85;9,12;5,96;5,24;0,65;0,30;0,29;;;4.831.565,82;5,87;0,54;-0,18;975.722.981,28
LCAM3;24,15;5,64;19,12;2,42;0,65;39,75;27,63;6,74;4,66;7,80;3,14;1,63;1,29;20,46;-0,83;1,18;12,66;3,41;12,37;0,27;0,73;0,51;53,89;85,95;166.957.437,09;9,98;1,26;-2,19;12.285.815.275,65
LEVE3;28,78;14,60;6,45;2,24;1,18;26,59;17,59;14,15;5,19;5,49;0,18;0,08;0,91;3,83;-3,14;1,96;34,78;18,24;27,27;0,52;0,48;1,29;11,02;87,60;6.475.544,25;12,84;4,47;0,96;3.785.100.750,00
